Platform,Function,Analyzer,Part No.,Description,Information
LaserGas II Single Path,Analog out,"111328 AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",111328,"AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",
LaserGas II Single Path,Analog out,"111329 AuxBoard Unit, 2 Channel, LG II/LGQ/LD",111329,"AuxBoard Unit, 2 Channel, LG II/LGQ/LD",
LaserGas II Single Path,Analog out,"110496 AuxBoard Unit, 3 Channel, LG II/LGQ/LD",110496,"AuxBoard Unit, 3 Channel, LG II/LGQ/LD",
LaserGas II Single Path,Tracking Cell,102158 Fixed Internal Sealed Cell (FISC) LGII SP,102158,Fixed Internal Sealed Cell (FISC) LGII SP,Fixed Internal Sealed Cell (Tracking cell)
LaserGas II Single Path,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas II Single Path,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserGas II Single Path,Customized Tuning,102416 Low pressure tuning,102416,Low pressure tuning,NB! Discount applies
LaserGas II Single Path,Dual Gas,"101100 Dual gas add‐on Temperatur as second gas, LGII",101100,"Dual gas add‐on Temperatur as second gas, LGII",
LaserGas II Compact,Analog out,"111328 AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",111328,"AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",
LaserGas II Compact,Analog out,"111329 AuxBoard Unit, 2 Channel, LG II/LGQ/LD",111329,"AuxBoard Unit, 2 Channel, LG II/LGQ/LD",
LaserGas II Compact,Analog out,"110496 AuxBoard Unit, 3 Channel, LG II/LGQ/LD",110496,"AuxBoard Unit, 3 Channel, LG II/LGQ/LD",
LaserGas II Compact,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas II Compact,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserGas II Compact,Customized Tuning,102416 Low pressure tuning,102416,Low pressure tuning,NB! Discount applies
LaserGas II Compact,Dual Gas,"101100 Dual gas add‐on Temperatur as second gas, LGII",101100,"Dual gas add‐on Temperatur as second gas, LGII",
LaserGas II Multipass,Analog out,"111328 AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",111328,"AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",
LaserGas II Multipass,Analog out,"111329 AuxBoard Unit, 2 Channel, LG II/LGQ/LD",111329,"AuxBoard Unit, 2 Channel, LG II/LGQ/LD",
LaserGas II Multipass,Analog out,"110496 AuxBoard Unit, 3 Channel, LG II/LGQ/LD",110496,"AuxBoard Unit, 3 Channel, LG II/LGQ/LD",
LaserGas II Multipass,Tracking Cell,111630 Fixed Internal sealed cell (FISC) LGII MP,111630,Fixed Internal sealed cell (FISC) LGII MP,"Only available for some gases, Contact NEO Monitors"
LaserGas II Multipass,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas II Multipass,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserGas II Multipass,Dual Gas,"101100 Dual gas add‐on Temperatur as second gas, LGII",101100,"Dual gas add‐on Temperatur as second gas, LGII",
LaserGas II Open Path,Analog out,"111328 AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",111328,"AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",
LaserGas II Open Path,Analog out,"111329 AuxBoard Unit, 2 Channel, LG II/LGQ/LD",111329,"AuxBoard Unit, 2 Channel, LG II/LGQ/LD",
LaserGas II Open Path,Analog out,"110496 AuxBoard Unit, 3 Channel, LG II/LGQ/LD",110496,"AuxBoard Unit, 3 Channel, LG II/LGQ/LD",
LaserGas II Open Path,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas II Open Path,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserGas II Open Path,Dual Gas,"101100 Dual gas add‐on Temperatur as second gas, LGII",101100,"Dual gas add‐on Temperatur as second gas, LGII",
LaserGas III Single Path,Cable for LaserGas III/LaserGas Q,110346 LaserGas III CSA housing with 10 m cabling,110346,LaserGas III CSA housing with 10 m cabling,
LaserGas III Single Path,Cable for LaserGas III/LaserGas Q,106939 LaserGas III housing with 10 m cabling,106939,LaserGas III housing with 10 m cabling,"2x10m cables, including connector box."
LaserGas III Single Path,Additional Connector box,107794 Additional Connector box ATEX/ IECEx zone 1 LG3,107794,Additional Connector box ATEX/ IECEx zone 1 LG3,"For long distances, extra connector box"
LaserGas III Single Path,Additional Connector box,109991 Additional Connector box CSA Version LG3  ,109991,Additional Connector box CSA Version LG3  ,"For long distances, extra connector box"
LaserGas III Single Path,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas III Single Path,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserGas III Single Path,Customized Tuning,101319 High Pressure tuning,101319,High Pressure tuning,NB! Discount applies
LaserGas III Single Path,Customized Tuning,102416 Low pressure tuning,102416,Low pressure tuning,NB! Discount applies
LaserGas III Single Path,T-Flange solution,"112270 T-flange Solution, CO ppm + O2, R+R",112270,"T-flange Solution, CO ppm + O2, R+R",NB! No discount applies
LaserGas III Single Path,T-Flange solution,"113040 T-flange Solution, CO ppm + O2, R+L",113040,"T-flange Solution, CO ppm + O2, R+L",NB! No discount applies
LaserGas III Single Path,T-Flange solution,"113041 T-flange Solution, CO ppm + O2, L+L ",113041,"T-flange Solution, CO ppm + O2, L+L ",NB! No discount applies
LaserGas iQ2,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas iQ2,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserGas Q,Analog out,"110496 AuxBoard Unit, 3 Channel, LG II/LGQ/LD",110496,"AuxBoard Unit, 3 Channel, LG II/LGQ/LD",
LaserGas Q,Customized Tuning,102384 Special tuning,102384,Special tuning,"NB! No discount, labour work only"
LaserGas Q,Customized Tuning,106828 Expert tuning,106828,Expert tuning,"NB! No discount, labour work only"
LaserDust,Analog out,"111328 AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",111328,"AuxBoard Unit, 1.Channel (Standard Unit), LG II/LGQ/LD",
LaserDust,Analog out,"110496 AuxBoard Unit, 3 Channel, LG II/LGQ/LD",110496,"AuxBoard Unit, 3 Channel, LG II/LGQ/LD",
LaserDust,Customized Tuning,103162 LaserDust High Temp option (>500 degC),103162,LaserDust High Temp option (>500 degC),
LaserGas II Single Path,Calibration cells,103426 Calibration Cell LGII SP Electropolished l=712 mm (AISI316),103426,Calibration Cell LGII SP Electropolished l=712 mm (AISI316),Swagelok 6 mm OD fittings
LaserGas II Single Path,Calibration cells,100224 Calibration Cell LaserGas II SP l=712 mm (Al),100224,Calibration Cell LaserGas II SP l=712 mm (Al),Swagelok 6 mm OD fittings
LaserGas II Single Path,Calibration cells,100358 Calibration Cell LaserGas II SP l=712 mm (AISI316),100358,Calibration Cell LaserGas II SP l=712 mm (AISI316),Swagelok 6 mm OD fittings
LaserGas II Single Path,Calibration cells,101102 Calibration cell kit LaserGas II SP HF (Al+PTFE),101102,Calibration cell kit LaserGas II SP HF (Al+PTFE),incl. PTFE cell w/ sapphire window
LaserGas II Single Path,Measurement cell,102538 Measurement cell L 700mm w/Saphire windows & flanges,102538,Measurement cell L 700mm w/Saphire windows & flanges,"Electropolished SS316, Suited for DN50-flanges, Standard Cell. NOT Suitable for H2"
LaserGas II Single Path,Measurement cell,106160 Measurement cell L 500mm w/Saphire windows & flanges,106160,Measurement cell L 500mm w/Saphire windows & flanges," Electropolished SS316, Suited for DN50-flanges"
LaserGas II Single Path,Measurement cell,106159 Measurement cell L 200mm w/Saphire windows & flanges,106159,Measurement cell L 200mm w/Saphire windows & flanges," Electropolished SS316, Suited for DN50-flanges"
LaserGas II Single Path,Measurement cell,111600 Measurement cell for H2 L:0. 7m w/Sapphire windows & flanges,111600,Measurement cell for H2 L:0. 7m w/Sapphire windows & flanges,"Special Cell for H2, Electropolished including DN50-flanges. Extended purge/alignment units"
LaserGas II Single Path,Measurement cell,112137 Measurement cell Hastelloy 700mm w/Sapphire windows & flanges,112137,Measurement cell Hastelloy 700mm w/Sapphire windows & flanges," Electropolished Hastelloy, suited for DN-50 Flanges"
LaserGas II Single Path,Isolation flanges,100585 Isolation Flange assy DN 50 w/window (process) (FS) (No purge),100585,Isolation Flange assy DN 50 w/window (process) (FS) (No purge),Price per flange SS316 W/M16 tread‐bolts
LaserGas II Single Path,Isolation flanges,101360 Isolation Flange assy ANSI 2''/150 (process) (FS) (No purge),101360,Isolation Flange assy ANSI 2''/150 (process) (FS) (No purge),Price per flange SS316 W/M16 tread‐bolts
LaserGas II Single Path,Isolation flanges,"106867 IsolationFlange, DN50/PN16 760 (PED) (w/purge)",106867,"IsolationFlange, DN50/PN16 760 (PED) (w/purge)",Price per flange
LaserGas II Single Path,Isolation flanges,"106868 IsolationFlange, ANSI 2""/150, AR760nm (PED) (w/purge)",106868,"IsolationFlange, ANSI 2""/150, AR760nm (PED) (w/purge)",Price per flange
LaserGas II Single Path,Isolation flanges,"106902 IsolationFlange, ANSI 2""/300, AR760nm (PED) (w/purge)",106902,"IsolationFlange, ANSI 2""/300, AR760nm (PED) (w/purge)",Price per flange
LaserGas II Single Path,Isolation flanges,"106905 IsolationFlange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",106905,"IsolationFlange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",Price per flange
LaserGas II Single Path,Isolation flanges,"106907 IsolationFlange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",106907,"IsolationFlange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",Price per flange
LaserGas II Single Path,Isolation flanges,"106909 IsolationFlange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",106909,"IsolationFlange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",Price per flange
LaserGas II Single Path,Isolation flanges,"106911 IsolationFlange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",106911,"IsolationFlange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",Price per flange
LaserGas II Single Path,Isolation flanges,"106913 IsolationFlange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",106913,"IsolationFlange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",Price per flange
LaserGas II Single Path,Isolation flanges,"106915 IsolationFlange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",106915,"IsolationFlange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",Price per flange
LaserGas II Compact,Calibration cells,103426 Calibration Cell LGII SP Electropolished l=712 mm (AISI316),103426,Calibration Cell LGII SP Electropolished l=712 mm (AISI316),Swagelok 6 mm OD fittings
LaserGas II Compact,Calibration cells,100224 Calibration Cell LaserGas II SP l=712 mm (Al),100224,Calibration Cell LaserGas II SP l=712 mm (Al),Swagelok 6 mm OD fittings
LaserGas II Compact,Calibration cells,100358 Calibration Cell LaserGas II SP l=712 mm (AISI316),100358,Calibration Cell LaserGas II SP l=712 mm (AISI316),Swagelok 6 mm OD fittings
LaserGas II Compact,Calibration cells,101102 Calibration cell kit LaserGas II SP HF (Al+PTFE),101102,Calibration cell kit LaserGas II SP HF (Al+PTFE),incl. PTFE cell w/ sapphire window
LaserGas II Compact,Measurement cell,102576 Measurement cell L 700mm w/ Saphire windows & Spool,102576,Measurement cell L 700mm w/ Saphire windows & Spool,"Electropolished, including spool piece"
LaserGas II Compact,Measurement cell,106162 Measurement cell L 500mm w/ Saphire windows & Spool,106162,Measurement cell L 500mm w/ Saphire windows & Spool,"Electropolished, including spool piece"
LaserGas II Compact,Measurement cell,106161 Measurement cell L 200mm w/ Saphire windows & Spool,106161,Measurement cell L 200mm w/ Saphire windows & Spool,"Electropolished, including spool piece"
LaserGas II Compact,Measurement cell,109580 Measurement cell Hastelloy 700mm w/Sapphire windows & spool ,109580,Measurement cell Hastelloy 700mm w/Sapphire windows & spool ,"Electropolished Hastelloy, including spool piece, Price on request"
LaserGas II Compact,Measurement cell,111295 Measurement cell Hastelloy 300mm w/Sapphire windows & spool,111295,Measurement cell Hastelloy 300mm w/Sapphire windows & spool,"Electropolished Hastelloy, including spool piece, Price on request"
LaserGas II Compact,Isolation flanges,100585 Isolation Flange assy DN 50 w/window (process) (FS) (no purge),100585,Isolation Flange assy DN 50 w/window (process) (FS) (no purge),Price per flange SS316 W/M16 tread‐bolts
LaserGas II Compact,Isolation flanges,101360 Isolation Flange assy ANSI 2''/150 (process) (FS) (no purge),101360,Isolation Flange assy ANSI 2''/150 (process) (FS) (no purge),Price per flange SS316 W/M16 tread‐bolts
LaserGas II Compact,Isolation flanges,"106867 IsolationFlange, DN50/PN16 760 (PED) (w/purge)",106867,"IsolationFlange, DN50/PN16 760 (PED) (w/purge)",Price per flange
LaserGas II Compact,Isolation flanges,"106868 IsolationFlange, ANSI 2""/150, AR760nm (PED) (w/purge)",106868,"IsolationFlange, ANSI 2""/150, AR760nm (PED) (w/purge)",Price per flange
LaserGas II Compact,Isolation flanges,"106902 IsolationFlange, ANSI 2""/300, AR760nm (PED) (w/purge)",106902,"IsolationFlange, ANSI 2""/300, AR760nm (PED) (w/purge)",Price per flange
LaserGas II Compact,Isolation flanges,"106905 IsolationFlange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",106905,"IsolationFlange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",Price per flange
LaserGas II Compact,Isolation flanges,"106907 IsolationFlange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",106907,"IsolationFlange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",Price per flange
LaserGas II Compact,Isolation flanges,"106909 IsolationFlange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",106909,"IsolationFlange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",Price per flange
LaserGas II Compact,Isolation flanges,"106911 IsolationFlange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",106911,"IsolationFlange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",Price per flange
LaserGas II Compact,Isolation flanges,"106913 IsolationFlange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",106913,"IsolationFlange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",Price per flange
LaserGas II Compact,Isolation flanges,"106915 IsolationFlange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",106915,"IsolationFlange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",Price per flange
LaserGas III Single Path,Calibration cells,106113 Calibration cell LaserG III SP l=712 mm (Al),106113,Calibration cell LaserG III SP l=712 mm (Al),Dairy clamps kit must be ordered seperately. Swagelok 8mm OD fittings
LaserGas III Single Path,Calibration cells,102782 Calibration cell LG III/Q l=712 mm (AISI316L),102782,Calibration cell LG III/Q l=712 mm (AISI316L),Dairy clamps kit must be ordered seperately. Swagelok 8mm OD fittings
LaserGas III Single Path,Measurement cell,102538 Measurement cell L 700mm w/Saphire windows & flanges,102538,Measurement cell L 700mm w/Saphire windows & flanges,"Electropolished SS316, Suited for DN50-flanges"
LaserGas III Single Path,Measurement cell,106160 Measurement cell L 500mm w/Saphire windows & flanges,106160,Measurement cell L 500mm w/Saphire windows & flanges,"Electropolished SS316, Suited for DN50-flanges"
LaserGas III Single Path,Measurement cell,106159 Measurement cell L 200mm w/Saphire windows & flanges,106159,Measurement cell L 200mm w/Saphire windows & flanges,"Electropolished SS316, Suited for DN50-flanges"
LaserGas III Single Path,Measurement cell,"108558 Measurement cell L 700mm w/ Saphire windows & Spool, LG3/LGQ",108558,"Measurement cell L 700mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished SS316, including spool piece"
LaserGas III Single Path,Measurement cell,"108556 Measurement cell L 500mm w/ Saphire windows & Spool, LG3/LGQ",108556,"Measurement cell L 500mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished SS316, including spool piece"
LaserGas III Single Path,Measurement cell,"108557 Measurement cell L 200mm w/ Saphire windows & Spool, LG3/LGQ",108557,"Measurement cell L 200mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished SS316, including spool piece"
LaserGas III Single Path,Isolation flanges,100585 Isolation Flange assy DN 50 w/window (process) (FS) (no purge),100585,Isolation Flange assy DN 50 w/window (process) (FS) (no purge),Price per flange SS316 W/M16 tread‐bolts
LaserGas III Single Path,Isolation flanges,101360 Isolation Flange assy ANSI 2''/150 (process) (FS) (no purge),101360,Isolation Flange assy ANSI 2''/150 (process) (FS) (no purge),Price per flange SS316 W/M16 tread‐bolts
LaserGas III Single Path,Isolation flanges,"106867 Isolation Flange, DN50/PN16 760 (PED) (w/purge)",106867,"Isolation Flange, DN50/PN16 760 (PED) (w/purge)",Price per flange
LaserGas III Single Path,Isolation flanges,"106868 Isolation Flange, ANSI 2""/150, AR760nm (PED) (w/purge)",106868,"Isolation Flange, ANSI 2""/150, AR760nm (PED) (w/purge)",Price per flange
LaserGas III Single Path,Isolation flanges,"106902 Isolation Flange, ANSI 2""/300, AR760nm (PED) (w/purge)",106902,"Isolation Flange, ANSI 2""/300, AR760nm (PED) (w/purge)",Price per flange
LaserGas III Single Path,Isolation flanges,"106905 Isolation Flange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",106905,"Isolation Flange, DN50/PN16, AR1300‐2200nm (PED) (w/purge)",Price per flange
LaserGas III Single Path,Isolation flanges,"106907 Isolation Flange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",106907,"Isolation Flange, ANSI 2""/150, AR1300‐2200nm (PED) (w/purge)",Price per flange
LaserGas III Single Path,Isolation flanges,"106909 Isolation Flange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",106909,"Isolation Flange, ANSI 2""/300, AR1300‐2200nm (PED) (w/purge)",Price per flange
LaserGas III Single Path,Isolation flanges,"106911 Isolation Flange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",106911,"Isolation Flange, DN50/PN16, AR2200‐2400nm (PED) (w/purge)",Price per flange
LaserGas III Single Path,Isolation flanges,"106913 Isolation Flange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",106913,"Isolation Flange, ANSI 2""/150, AR2200‐2400nm (PED) (w/purge)",Price per flange
LaserGas III Single Path,Isolation flanges,"106915 Isolation Flange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",106915,"Isolation Flange, ANSI 2""/300, AR2200‐2400nm (PED) (w/purge)",Price per flange
LaserGas iQ2,Calibration cells,108863 Calibration cell Kit LG iQ2 without Cube corners,108863,Calibration cell Kit LG iQ2 without Cube corners,Cube corner not included
LaserGas iQ2,Calibration cells,108684 Calibration cell Kit LG iQ2 inc. Cube corner,108684,Calibration cell Kit LG iQ2 inc. Cube corner,Cube corner included
LaserGas Q,Calibration cells,102782 Calibration cell LG III/Q l=712 mm (AISI316L),102782,Calibration cell LG III/Q l=712 mm (AISI316L),Dairy clamps kit must be ordered seperately. Swagelok 8mm OD fittings
LaserGas Q,Measurement cell,"108558 Measurement cell L 700mm w/ Saphire windows & Spool, LG3/LGQ",108558,"Measurement cell L 700mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished, including spool piece"
LaserGas Q,Measurement cell,"108556 Measurement cell L 500mm w/ Saphire windows & Spool, LG3/LGQ",108556,"Measurement cell L 500mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished, including spool piece"
LaserGas Q,Measurement cell,"108557 Measurement cell L 200mm w/ Saphire windows & Spool, LG3/LGQ",108557,"Measurement cell L 200mm w/ Saphire windows & Spool, LG3/LGQ","Electropolished, including spool piece"
